Product_ID,Product_Name,Category,Subcategory,Estimated_Total_Units_Sold_in_2025,Estimated_Revenue_in_2025_USD,Price_Range_USD,Trend_Score,Trend_Source,Notes,Price_Min,Price_Max,Price_Avg,Price_Range_Width,Price_Category,Revenue_Per_Unit,Success_Score
PROD-2025-0039,Aura Smart Pet Feeders Shampoo,Pet,Smart Pet Feeders,82737,9969808.5,$86-$155,73.0,Amazon Best Sellers,Trending based on category growth and social media signals.,86.0,155.0,120.5,69.0,Luxury,120.5,0.3799609038637564
PROD-2025-0040,Sustainable Pet Apparel Collar,Pet,Pet Apparel,62382,5832717.0,$78-$109,79.6,Amazon Best Sellers,Trending based on category growth and social media signals.,78.0,109.0,93.5,31.0,Premium,93.5,0.40928021447271296
PROD-2025-0041,Luxe SaaS Subscriptions Guide,Digital Goods,SaaS Subscriptions,37169,3177949.5,$48-$123,72.4,Google Trends Breakout,Trending based on category growth and social media signals.,48.0,123.0,85.5,75.0,Premium,85.5,0.3687210780631636
PROD-2025-0042,Zen Smart Fitness Trackers Band,Fitness,Smart Fitness Trackers,94598,10689574.0,$75-$151,82.4,Instagram Shop Popular,Trending based on category growth and social media signals.,75.0,151.0,113.0,76.0,Luxury,113.0,0.4291056671586308
PROD-2025-0043,Pure Kitchen Gadgets Blender,Home & Garden,Kitchen Gadgets,71723,10866034.5,$147-$156,82.9,Google Trends Breakout,Trending based on category growth and social media signals.,147.0,156.0,151.5,9.0,Luxury,151.5,0.42746929919890986
PROD-2025-0044,Swift Smart Home Devices Earbuds,Electronics,Smart Home Devices,20249,1660418.0,$77-$87,84.9,Amazon Best Sellers,Trending based on category growth and social media signals.,77.0,87.0,82.0,10.0,Premium,82.0,0.42816152195918644
PROD-2025-0045,Glow Solar Powered Gadgets Bottle,Eco-Friendly,Solar Powered Gadgets,96162,9135390.0,$89-$101,87.2,Instagram Shop Popular,Trending based on category growth and social media signals.,89.0,101.0,95.0,12.0,Premium,95.0,0.4533884771909369
PROD-2025-0046,Ultra Smart Home Devices Power Bank,Electronics,Smart Home Devices,53545,3293017.5,$34-$89,77.8,Google Trends Breakout,Trending based on category growth and social media signals.,34.0,89.0,61.5,55.0,Premium,61.5,0.39868226546025165
PROD-2025-0047,Ergonomic Charging Solutions Adapter,Electronics,Charging Solutions,84244,7413472.0,$59-$117,74.0,Amazon Best Sellers,Trending based on category growth and social media signals.,59.0,117.0,88.0,58.0,Premium,88.0,0.3852334068808187
PROD-2025-0048,Organic Korean Skincare Oil,Beauty & Skincare,Korean Skincare,67435,12711497.5,$140-$237,75.6,Google Trends Breakout,Trending based on category growth and social media signals.,140.0,237.0,188.5,97.0,Luxury,188.5,0.3901939223328428
PROD-2025-0049,Vital Recovery Tools Mat,Fitness,Recovery Tools,33535,4678132.5,$90-$189,83.3,Instagram Shop Popular,Trending based on category growth and social media signals.,90.0,189.0,139.5,99.0,Luxury,139.5,0.42256396063515805
PROD-2025-0050,Pure Smart Baby Monitors Monitor,Baby,Smart Baby Monitors,46247,7584508.0,$144-$184,74.0,Amazon Best Sellers,Trending based on category growth and social media signals.,144.0,184.0,164.0,40.0,Luxury,164.0,0.3783626058593754
PROD-2025-0051,Vital Stock Media Template,Digital Goods,Stock Media,55282,4616047.0,$75-$92,82.0,Shopify Trending List,Trending based on category growth and social media signals.,75.0,92.0,83.5,17.0,Premium,83.5,0.4199963581879471
PROD-2025-0052,Minimalist Eco-friendly Cleaning Desk,Home & Garden,Eco-friendly Cleaning,44944,2516864.0,$18-$94,87.6,Amazon Best Sellers,Trending based on category growth and social media signals.,18.0,94.0,56.0,76.0,Premium,56.0,0.4461269911073965
PROD-2025-0053,Ultra Charging Solutions Case,Electronics,Charging Solutions,25594,1522843.0,$30-$89,86.0,Shopify Trending List,Trending based on category growth and social media signals.,30.0,89.0,59.5,59.0,Premium,59.5,0.4346280306693376
PROD-2025-0054,Zen Organic Pet Food Treats,Pet,Organic Pet Food,37430,7036840.0,$147-$229,72.9,Amazon Best Sellers,Trending based on category growth and social media signals.,147.0,229.0,188.0,82.0,Luxury,188.0,0.37126827334349094
PROD-2025-0055,Vital Online Courses Course,Digital Goods,Online Courses,36816,4638816.0,$121-$131,89.0,Shopify Trending List,Trending based on category growth and social media signals.,121.0,131.0,126.0,10.0,Luxury,126.0,0.45165724689858294
PROD-2025-0056,Organic Phone Accessories Stand,Electronics,Phone Accessories,42481,3759568.5,$46-$131,79.4,Shopify Trending List,Trending based on category growth and social media signals.,46.0,131.0,88.5,85.0,Premium,88.5,0.40468161955396303
PROD-2025-0057,Pro Personal Care Gadgets Brush,Beauty & Skincare,Personal Care Gadgets,40925,2680587.5,$62-$69,88.1,Amazon Best Sellers,Trending based on category growth and social media signals.,62.0,69.0,65.5,7.0,Premium,65.5,0.4479002561202875
PROD-2025-0058,Wireless Accessories Belt,Fashion,Accessories,25083,2069347.5,$46-$119,88.2,Google Trends Breakout,Trending based on category growth and social media signals.,46.0,119.0,82.5,73.0,Premium,82.5,0.4455356291818002
PROD-2025-0059,Organic Eco-friendly Diapers Bottle,Baby,Eco-friendly Diapers,31692,3723810.0,$93-$142,77.5,Instagram Shop Popular,Trending based on category growth and social media signals.,93.0,142.0,117.5,49.0,Luxury,117.5,0.3932307004756055
PROD-2025-0060,Glow Recovery Tools Tracker,Fitness,Recovery Tools,19606,1725328.0,$67-$109,76.7,Instagram Shop Popular,Trending based on category growth and social media signals.,67.0,109.0,88.0,42.0,Premium,88.0,0.38704525159424213
PROD-2025-0061,Aura Wearable Tech Adapter,Electronics,Wearable Tech,56878,4351167.0,$74-$79,74.2,Google Trends Breakout,Trending based on category growth and social media signals.,74.0,79.0,76.5,5.0,Premium,76.5,0.3812849546147762
PROD-2025-0062,Portable Solar Powered Gadgets Wrap,Eco-Friendly,Solar Powered Gadgets,78092,12065214.0,$134-$175,88.1,Shopify Trending List,Trending based on category growth and social media signals.,134.0,175.0,154.5,41.0,Luxury,154.5,0.4546209725337934
PROD-2025-0063,Luxe Portable Audio Watch,Electronics,Portable Audio,82876,13591664.0,$140-$188,85.7,Google Trends Breakout,Trending based on category growth and social media signals.,140.0,188.0,164.0,48.0,Luxury,164.0,0.44348603851496526
PROD-2025-0064,Pure Smart Fitness Trackers Bench,Fitness,Smart Fitness Trackers,32937,2091499.5,$24-$103,82.8,Shopify Trending List,Trending based on category growth and social media signals.,24.0,103.0,63.5,79.0,Premium,63.5,0.4199558273875116
PROD-2025-0065,Minimalist Womenswear Bag,Fashion,Womenswear,26233,3672620.0,$137-$143,87.2,Amazon Best Sellers,Trending based on category growth and social media signals.,137.0,143.0,140.0,6.0,Luxury,140.0,0.4407435777349665
PROD-2025-0066,Zen Yoga Gear Scale,Fitness,Yoga Gear,26351,2463818.5,$75-$112,77.3,Instagram Shop Popular,Trending based on category growth and social media signals.,75.0,112.0,93.5,37.0,Premium,93.5,0.3912649150647697
PROD-2025-0067,Smart Home Office Decor Organizer,Home & Garden,Home Office Decor,66996,9982404.0,$108-$190,70.7,Google Trends Breakout,Trending based on category growth and social media signals.,108.0,190.0,149.0,82.0,Luxury,149.0,0.36561454023298195
PROD-2025-0068,Wireless Smart Fitness Trackers Gloves,Fitness,Smart Fitness Trackers,37192,5578800.0,$117-$183,78.7,Amazon Best Sellers,Trending based on category growth and social media signals.,117.0,183.0,150.0,66.0,Luxury,150.0,0.4002252370342269
PROD-2025-0069,Eco Educational Toys Carrier,Baby,Educational Toys,54176,8072224.0,$123-$175,76.5,Google Trends Breakout,Trending based on category growth and social media signals.,123.0,175.0,149.0,52.0,Luxury,149.0,0.3922963659272498
PROD-2025-0070,Wireless Menswear Hoodie,Fashion,Menswear,57418,9043335.0,$120-$195,83.0,Google Trends Breakout,Trending based on category growth and social media signals.,120.0,195.0,157.5,75.0,Luxury,157.5,0.42538260002234995
PROD-2025-0071,Swift Womenswear Jacket,Fashion,Womenswear,32693,6064551.5,$150-$221,87.9,Google Trends Breakout,Trending based on category growth and social media signals.,150.0,221.0,185.5,71.0,Luxury,185.5,0.44541170612927455
PROD-2025-0072,Ergonomic Charging Solutions Power Bank,Electronics,Charging Solutions,50368,4810144.0,$77-$114,81.3,Shopify Trending List,Trending based on category growth and social media signals.,77.0,114.0,95.5,37.0,Premium,95.5,0.4156077849790261
PROD-2025-0073,Smart Phone Accessories Power Bank,Electronics,Phone Accessories,90489,9682323.0,$75-$139,84.2,Shopify Trending List,Trending based on category growth and social media signals.,75.0,139.0,107.0,64.0,Luxury,107.0,0.4373626579369262
PROD-2025-0074,Eco Stock Media Asset,Digital Goods,Stock Media,38385,3205147.5,$79-$88,78.0,Instagram Shop Popular,Trending based on category growth and social media signals.,79.0,88.0,83.5,9.0,Premium,83.5,0.39694096105503335
PROD-2025-0075,Flex Smart Fitness Trackers Mat,Fitness,Smart Fitness Trackers,61756,9850082.0,$115-$204,81.3,Google Trends Breakout,Trending based on category growth and social media signals.,115.0,204.0,159.5,89.0,Luxury,159.5,0.41766701812985896
PROD-2025-0076,Minimalist Sustainable Apparel Jacket,Fashion,Sustainable Apparel,21905,3658135.0,$144-$190,87.8,Google Trends Breakout,Trending based on category growth and social media signals.,144.0,190.0,167.0,46.0,Luxury,167.0,0.44296096787574585
PROD-2025-0077,Ergonomic Recovery Tools Dumbbell,Fitness,Recovery Tools,91811,6472675.5,$40-$101,82.6,Amazon Best Sellers,Trending based on category growth and social media signals.,40.0,101.0,70.5,61.0,Premium,70.5,0.4296017083606529
PROD-2025-0078,Aura Baby Safety Gear Toy,Baby,Baby Safety Gear,98055,15884910.0,$139-$185,84.1,Instagram Shop Popular,Trending based on category growth and social media signals.,139.0,185.0,162.0,46.0,Luxury,162.0,0.4382307785919315
PROD-2025-0079,Zen Organic Baby Clothing Diaper,Baby,Organic Baby Clothing,88083,9028507.5,$57-$148,71.5,Amazon Best Sellers,Trending based on category growth and social media signals.,57.0,148.0,102.5,91.0,Luxury,102.5,0.37342759339873643
PROD-2025-0080,Premium Baby Safety Gear Toy,Baby,Baby Safety Gear,39532,2095196.0,$23-$83,76.1,Amazon Best Sellers,Trending based on category growth and social media signals.,23.0,83.0,53.0,60.0,Premium,53.0,0.38764836713371303
PROD-2025-0081,Zen Stock Media App,Digital Goods,Stock Media,93151,10246610.0,$65-$155,79.3,Instagram Shop Popular,Trending based on category growth and social media signals.,65.0,155.0,110.0,90.0,Luxury,110.0,0.41334401363129886
PROD-2025-0082,Wireless Wearable Tech Watch,Electronics,Wearable Tech,25108,2058856.0,$58-$106,84.7,Shopify Trending List,Trending based on category growth and social media signals.,58.0,106.0,82.0,48.0,Premium,82.0,0.4280401498025212
PROD-2025-0083,Pure Baby Safety Gear Carrier,Baby,Baby Safety Gear,95878,5608863.0,$54-$63,80.2,Instagram Shop Popular,Trending based on category growth and social media signals.,54.0,63.0,58.5,9.0,Premium,58.5,0.4183371229395463
PROD-2025-0084,Glow Hair Care Tools Perfume,Beauty & Skincare,Hair Care Tools,62742,6023232.0,$90-$102,70.2,Shopify Trending List,Trending based on category growth and social media signals.,90.0,102.0,96.0,12.0,Premium,96.0,0.3623453114110955
PROD-2025-0085,Ultra Wearable Tech Stand,Electronics,Wearable Tech,32544,6004368.0,$139-$230,80.5,Instagram Shop Popular,Trending based on category growth and social media signals.,139.0,230.0,184.5,91.0,Luxury,184.5,0.4083847632297774
PROD-2025-0086,Premium Accessories Jacket,Fashion,Accessories,463415,45414670.0,$65-$131,91.0,Google Trends Breakout,Trending based on category growth and social media signals.,65.0,131.0,98.0,66.0,Premium,98.0,0.5387969380570083
PROD-2025-0087,Ultra Yoga Gear Gloves,Fitness,Yoga Gear,68472,11708712.0,$150-$192,88.1,Amazon Best Sellers,Trending based on category growth and social media signals.,150.0,192.0,171.0,42.0,Luxury,171.0,0.4528814376803501
PROD-2025-0088,Glow E-books Preset,Digital Goods,E-books,22749,841713.0,$32-$42,71.3,Google Trends Breakout,Trending based on category growth and social media signals.,32.0,42.0,37.0,10.0,Mid-Range,37.0,0.360613584031287
PROD-2025-0089,Glow Reusable Packaging Soap,Eco-Friendly,Reusable Packaging,12128,1036944.0,$38-$133,74.9,Amazon Best Sellers,Trending based on category growth and social media signals.,38.0,133.0,85.5,95.0,Premium,85.5,0.3766930435241747
PROD-2025-0090,Wireless Personal Care Gadgets Brush,Beauty & Skincare,Personal Care Gadgets,67734,6570198.0,$79-$115,73.0,Shopify Trending List,Trending based on category growth and social media signals.,79.0,115.0,97.0,36.0,Premium,97.0,0.37724798895666606
PROD-2025-0091,Ultra Korean Skincare Toner,Beauty & Skincare,Korean Skincare,48779,2195055.0,$40-$50,81.0,Shopify Trending List,Trending based on category growth and social media signals.,40.0,50.0,45.0,10.0,Mid-Range,45.0,0.413820454325999
PROD-2025-0092,Ergonomic Smart Home Devices Earbuds,Electronics,Smart Home Devices,12672,2008512.0,$129-$188,79.1,Instagram Shop Popular,Trending based on category growth and social media signals.,129.0,188.0,158.5,59.0,Luxury,158.5,0.39779141223106373
PROD-2025-0093,Zen Personal Care Gadgets Lipstick,Beauty & Skincare,Personal Care Gadgets,76369,12448147.0,$142-$184,73.3,Instagram Shop Popular,Trending based on category growth and social media signals.,142.0,184.0,163.0,42.0,Luxury,163.0,0.38030941135370167
PROD-2025-0094,Glow Portable Audio Speaker,Electronics,Portable Audio,42299,6535195.5,$127-$182,76.9,Shopify Trending List,Trending based on category growth and social media signals.,127.0,182.0,154.5,55.0,Luxury,154.5,0.3921487094351141
PROD-2025-0095,Sustainable Educational Toys Swaddle,Baby,Educational Toys,64402,5763979.0,$77-$102,74.2,Amazon Best Sellers,Trending based on category growth and social media signals.,77.0,102.0,89.5,25.0,Premium,89.5,0.3826454806269703
PROD-2025-0096,Zen Sustainable Apparel Bag,Fashion,Sustainable Apparel,151480,22343300.0,$142-$153,90.4,Google Trends Breakout,Trending based on category growth and social media signals.,142.0,153.0,147.5,11.0,Luxury,147.5,0.47939134507272235
PROD-2025-0097,Swift Fragrances Lotion,Beauty & Skincare,Fragrances,92541,8791395.0,$87-$103,72.8,Instagram Shop Popular,Trending based on category growth and social media signals.,87.0,103.0,95.0,16.0,Premium,95.0,0.3807337104857063
PROD-2025-0098,Pro Hair Care Tools Lipstick,Beauty & Skincare,Hair Care Tools,21063,2769784.5,$84-$179,83.0,Shopify Trending List,Trending based on category growth and social media signals.,84.0,179.0,131.5,95.0,Luxury,131.5,0.41880871336986236
PROD-2025-0099,Aura Pet Apparel Carrier,Pet,Pet Apparel,93666,5619960.0,$23-$97,88.8,Instagram Shop Popular,Trending based on category growth and social media signals.,23.0,97.0,60.0,74.0,Premium,60.0,0.46093713841815165
PROD-2025-0100,Luxe Smart Baby Monitors Toy,Baby,Smart Baby Monitors,80044,14768118.0,$149-$220,85.7,Amazon Best Sellers,Trending based on category growth and social media signals.,149.0,220.0,184.5,71.0,Luxury,184.5,0.44297394259968964
PROD-2025-0101,Sustainable Digital Planners Bundle,Digital Goods,Digital Planners,80936,6474880.0,$72-$88,74.3,Shopify Trending List,Trending based on category growth and social media signals.,72.0,88.0,80.0,16.0,Premium,80.0,0.38613523834701513
PROD-2025-0102,Pure Smart Fitness Trackers Mat,Fitness,Smart Fitness Trackers,12059,2068118.5,$142-$201,85.7,Shopify Trending List,Trending based on category growth and social media signals.,142.0,201.0,171.5,59.0,Luxury,171.5,0.43068056661098464
PROD-2025-0103,Organic Organic Baby Clothing Diaper,Baby,Organic Baby Clothing,96855,11332035.0,$88-$146,84.0,Instagram Shop Popular,Trending based on category growth and social media signals.,88.0,146.0,117.0,58.0,Luxury,117.0,0.4375137887973232
PROD-2025-0104,Nano Yoga Gear Tracker,Fitness,Yoga Gear,79590,8516130.0,$62-$152,88.3,Google Trends Breakout,Trending based on category growth and social media signals.,62.0,152.0,107.0,90.0,Luxury,107.0,0.45589184812739614
PROD-2025-0105,Pure Educational Toys Crib,Baby,Educational Toys,98055,13090342.5,$106-$161,87.5,Amazon Best Sellers,Trending based on category growth and social media signals.,106.0,161.0,133.5,55.0,Luxury,133.5,0.4552307785919315
PROD-2025-0106,Minimalist Pet Grooming Tools Bed,Pet,Pet Grooming Tools,10959,1720563.0,$148-$166,76.9,Google Trends Breakout,Trending based on category growth and social media signals.,148.0,166.0,157.0,18.0,Luxury,157.0,0.38648165929926037
PROD-2025-0107,Aura Eco-friendly Cleaning Cleaner,Home & Garden,Eco-friendly Cleaning,23090,2170460.0,$53-$135,81.0,Shopify Trending List,Trending based on category growth and social media signals.,53.0,135.0,94.0,82.0,Premium,94.0,0.4091752452979216
PROD-2025-0108,Ultra Baby Safety Gear Bib,Baby,Baby Safety Gear,20572,2046914.0,$89-$110,86.6,Google Trends Breakout,Trending based on category growth and social media signals.,89.0,110.0,99.5,21.0,Premium,99.5,0.4367199283789018
PROD-2025-0109,Flex Upcycled Fashion Kit,Eco-Friendly,Upcycled Fashion,35457,1170081.0,$21-$45,87.2,Google Trends Breakout,Trending based on category growth and social media signals.,21.0,45.0,33.0,24.0,Mid-Range,33.0,0.44241150595618906
PROD-2025-0110,Minimalist SaaS Subscriptions Tool,Digital Goods,SaaS Subscriptions,134255,7853917.5,$31-$86,91.4,Shopify Trending List,Trending based on category growth and social media signals.,31.0,86.0,58.5,55.0,Premium,58.5,0.4812766373959489
PROD-2025-0111,Eco Baby Safety Gear Monitor,Baby,Baby Safety Gear,42198,5591235.0,$86-$179,82.7,Amazon Best Sellers,Trending based on category growth and social media signals.,86.0,179.0,132.5,93.0,Luxury,132.5,0.42113044612740125
PROD-2025-0112,Smart Solar Powered Gadgets Bag,Eco-Friendly,Solar Powered Gadgets,97455,11353507.5,$93-$140,85.5,Instagram Shop Popular,Trending based on category growth and social media signals.,93.0,140.0,116.5,47.0,Luxury,116.5,0.44512228369462736
PROD-2025-0113,Sustainable Home Office Decor Cleaner,Home & Garden,Home Office Decor,79404,13419276.0,$146-$192,72.7,Instagram Shop Popular,Trending based on category growth and social media signals.,146.0,192.0,169.0,46.0,Luxury,169.0,0.37785821470923187
PROD-2025-0114,Aura Baby Safety Gear Swaddle,Baby,Baby Safety Gear,12520,744940.0,$45-$74,71.5,Google Trends Breakout,Trending based on category growth and social media signals.,45.0,74.0,59.5,29.0,Premium,59.5,0.35976392685708003
